servidor,anio,AR,BB,BO,BQ,BR,BZ,CL,CO,CR,CU,CW,DM,DO,EC,GF,GP,GT,GY,HN,HT,JM,KY,LC,MQ,MX,NI,PA,PE,PR,PY,SR,SV,TT,UY,VC,VE,VI
C,2013,185.893501176471,0.0,0.0,72.8058214285714,172.221146267361,93.0423947368421,166.291888520971,119.120666666667,83.0512067307692,0.0,74.0872781065089,0.0,93.9359512195122,119.881555555556,0.0,0.0,84.7713333333333,0.0,0.0,0.0,65.8282916666667,63.8295,0.0,0.0,53.1374032921811,0.0,0.0,160.357625,0.0,194.218083333333,107.56425,0.0,0.0,200.960758547008,0.0,83.3223461538462,0.0
C,2014,197.802695275911,0.0,0.0,90.5744047619048,172.631042727273,106.102357142857,165.210569915254,120.816540935672,96.8290661764706,129.479313953488,89.4489431818182,0.0,103.607485347985,118.371209459459,120.0396,80.8131724137931,91.4416104166666,0.0,98.5937358490566,0.0,77.9874596774194,74.7511444444444,0.0,113.340982142857,52.4684541666667,81.4379722222222,0.0,143.530396296296,76.6176333333333,206.075625,146.324916666666,75.10409375,121.527629032258,190.839219251337,0.0,106.404548780488,19.2863125
C,2015,192.517737308869,88.602,106.481071428571,0.0,161.071803976862,108.711884615385,163.248882678133,91.6230994623657,103.375458064516,140.419193548387,89.251320610687,0.0,87.7191782810684,113.412119402985,139.619782608696,76.8607193877551,78.3370178571428,102.999535714286,93.2892542735042,0.0,90.3749504132231,68.3744090909091,100.8353125,89.604027027027,47.7446074498568,120.127133333333,113.321625,124.345123232323,79.4831116207952,206.031352459016,118.18039,85.0648302469136,116.691179775281,181.546426732673,0.0,83.4609238505748,16.789996031746
C,2016,187.430720290409,80.4682222222222,124.558835616438,0.0,152.663047876448,100.595138888889,170.239417892157,80.26955704698,83.2297944297083,147.974745614035,79.54554296875,0.0,73.6730059101655,106.178204797048,121.852326388889,93.8193053097345,77.3571181818182,95.4199090909091,84.5021076923077,92.8942142857143,78.0600773195876,63.2868444444444,95.3703795180723,84.5378,53.1190266203704,61.6886111111111,74.188,127.836583941606,69.5143909774436,194.061950757576,108.729287128713,71.462847972973,105.82486196319,175.018087344028,70.47,78.5458775811209,84.0845961538462
C,2017,184.150131204231,82.1915827338129,133.501566420664,0.0,148.910016587678,63.7909791666666,157.05214911366,89.0189583333333,84.3213732129421,125.935154761905,81.9411559633027,0.0,65.4922548476454,103.317803468208,108.543790697674,79.8997804878049,80.8229117647059,0.0,88.4887219387755,0.0,64.4523333333333,54.5588586956522,103.930582089552,65.8345625,46.26765,68.6005789473684,83.7663733766234,107.167326018809,65.383,181.848110204082,117.766923076923,62.9436956521739,82.1884304347826,171.788975,94.241725,95.1036578125,61.5895142857143
C,2018,175.979494774347,84.072940397351,129.190606563422,0.0,145.878420652174,70.5912619047619,150.928015332197,97.3721928327645,83.2297322485207,120.647295454545,77.8690235294118,89.653,67.4276339066339,96.3070362903225,114.053875,80.3396354166667,84.5754736842105,0.0,80.2642175324675,49.2682647058824,79.2449324324324,66.5443111111111,93.1932738095238,70.0744130434783,44.0478113730929,64.1069615384615,75.6333188405797,106.706676975945,73.0739329268293,185.243951557094,116.903387931035,59.6149236111111,76.6629640287769,173.657095709571,94.3841578947369,89.1937209876543,55.8593557692308
C,2019,172.356930348259,66.5676809210527,135.106802336449,0.0,141.696869667966,78.276919804742,151.800068290735,91.9363772923409,86.2372138643068,117.782690909091,79.4256231343284,88.4879166666667,66.6559968749999,104.547234332425,99.3210833333333,87.2657,75.2710544041451,0.0,87.2889538461538,47.642,0.0,67.0275113636364,87.9834166666667,66.9702391304348,45.1097799479166,81.512625,69.5446608910891,115.800054521277,62.4572857142857,179.927421370968,112.953060606061,58.8143246753247,77.5749609375,157.921779761905,91.6965,82.8326516245487,54.0263292682927
C,2020,165.590227341965,63.0077580645161,132.143404217926,0.0,134.146117308456,72.41985,148.12004573991,92.8004903846154,85.0138822463769,120.463989583333,71.9986363636364,81.464935483871,58.4822593688363,85.4010258899677,87.9019705882353,83.9455704225352,69.1106538461539,101.097833333333,58.1226293103448,46.732,0.0,53.7510428571429,87.2691730769231,58.7688088235294,51.6716951951952,72.0523125,62.8140887096774,117.475331896552,68.9260515463918,167.798019713262,112.350060606061,61.1157777777778,76.969493902439,156.087431542461,0.0,82.115396373057,55.8991875
C,2021,168.370559684685,0.0,133.210125,0.0,123.815647778785,0.0,145.747666118421,84.5312884615385,83.9228031496063,107.24627173913,0.0,0.0,49.5224076923077,90.7394583333333,0.0,0.0,84.3098832116789,0.0,54.0039583333333,0.0,0.0,0.0,0.0,0.0,42.9452892720306,0.0,78.5069666666667,105.577159259259,61.1393653846154,168.45610106383,0.0,0.0,72.8511478873239,149.23140562249,0.0,55.6688564356435,49.34125
C,2022,167.93799025974,0.0,0.0,0.0,122.52340647482,0.0,141.113417721519,85.0119693877551,90.0091272727272,123.764145833333,0.0,0.0,50.7899910714286,97.0499393939394,0.0,0.0,84.596220338983,0.0,55.3170833333334,0.0,0.0,0.0,0.0,0.0,39.0517289156627,0.0,78.7605535714286,115.725852941176,62.6377272727273,142.518333333333,0.0,0.0,75.0478888888889,142.340967592593,0.0,63.8286533333333,55.1738421052632
