ASN,Holder,Country,UN Regions,UN Sub-Regions,RIR Regions,Filtering,Anti-spoofing,Coordination,Global Validation IRR,Global Validation RPKI
7313,Certisign Certificadora Digital S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
7325,Universidad Autonoma De Tamaulipas,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7340,TELETEL,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7365,CENTROIN PROVEDOR DE SERV. INTERNET. LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
7399,Internet Cancun S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.25,0.0
7408,COMIMSA,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.0
7417,Ministry of Economy,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7418,TELEFONICA CHILE S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.7,0.0
7438,Pegaso PCS,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
7465,PROCERGS - Cia de Processamento de Dados do RGS,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
7727,Hondutel,HN,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.56,1.0
7738,V tal,BR,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,1.0,0.0
7908,SENCINET LATAM ARGENTINA SA,AR,Americas,Latin America and the Caribbean,LACNIC,0.86,,1,0.35,0.0
7965,Universidad Catolica Andres Bello,VE,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
7974,Instituto Mexicano del Petroleo,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.67,0.0
8007,Servicios Administrados Mexis,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
8026,EMPRESA COLOMBIANA DE PETROLEOS,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,1.0
8048,CANTV Servicios,VE,Americas,Latin America and the Caribbean,LACNIC,1.0,1.0,1,1.0,0.97
8053,IFX Networks Venezuela C.A.,VE,Americas,Latin America and the Caribbean,LACNIC,0.9,,1,0.78,0.83
8055,TAVOLA CONECTIVIDADE LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
8140,Instituto Federal Electoral,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.67,0.0
8141,DREXELL DO BRASIL S.A,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
8151,Uninet S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,0.93,1.0,1,1.0,0.33
8163,Metrotel SA ESP,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
8167,V tal,BR,Americas,Latin America and the Caribbean,LACNIC,0.93,1.0,1,1.0,0.0
10269,Belize Telemedia Limited,BZ,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10277,Ministerio de Cultura y Educacion,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10299,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.96
10362,UBIK DO BRASIL SOL TECNOLOGIA LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
10412,CIA. DE TECNOL. DA INFOR. E COMUNICACAO DO PARANA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
